weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Text Length,0.055055055055055056,0.5277464788732394,0.014778325123152709,3547,200,3350,3
Text Length,0.056056056056056056,0.5290140845070422,0.014150943396226415,3547,209,3341,3
Text Length,0.057057057057057055,0.5301408450704226,0.013636363636363636,3547,217,3333,3
Text Length,0.058058058058058054,0.5305633802816901,0.017777777777777778,3546,221,3329,4
Text Length,0.05905905905905906,0.5318309859154929,0.017094017094017096,3546,230,3320,4
Text Length,0.06006006006006006,0.532394366197183,0.01680672268907563,3546,234,3316,4
Text Length,0.06106106106106106,0.5329577464788733,0.01652892561983471,3546,238,3312,4
Text Length,0.062062062062062065,0.5332394366197183,0.024193548387096774,3544,242,3308,6
Text Length,0.06306306306306306,0.533943661971831,0.023715415019762844,3544,247,3303,6
Text Length,0.06406406406406406,0.5343661971830986,0.0234375,3544,250,3300,6
Text Length,0.06506506506506507,0.5354929577464789,0.022727272727272728,3544,258,3292,6
Text Length,0.06606606606606606,0.536056338028169,0.025925925925925925,3543,263,3287,7
Text Length,0.06706706706706707,0.5369014084507042,0.025362318840579712,3543,269,3281,7
Text Length,0.06806806806806806,0.5371830985915493,0.025179856115107913,3543,271,3279,7
Text Length,0.06906906906906907,0.537887323943662,0.024734982332155476,3543,276,3274,7
Text Length,0.07007007007007007,0.5385915492957747,0.024305555555555556,3543,281,3269,7
Text Length,0.07107107107107107,0.5390140845070422,0.024054982817869417,3543,284,3266,7
Text Length,0.07207207207207207,0.54,0.02348993288590604,3543,291,3259,7
Text Length,0.07307307307307308,0.540281690140845,0.023333333333333334,3543,293,3257,7
Text Length,0.07407407407407407,0.5404225352112676,0.023255813953488372,3543,294,3256,7
Text Length,0.07507507507507508,0.5411267605633803,0.02287581699346405,3543,299,3251,7
Text Length,0.07607607607607608,0.5416901408450704,0.02258064516129032,3543,303,3247,7
Text Length,0.07707707707707707,0.5421126760563381,0.022364217252396165,3543,306,3244,7
Text Length,0.07807807807807808,0.5433802816901409,0.021739130434782608,3543,315,3235,7
Text Length,0.07907907907907907,0.543943661971831,0.02147239263803681,3543,319,3231,7
Text Length,0.08008008008008008,0.5442253521126761,0.024242424242424242,3542,322,3228,8
Text Length,0.08108108108108109,0.5449295774647888,0.023880597014925373,3542,327,3223,8
Text Length,0.08208208208208208,0.5454929577464789,0.02359882005899705,3542,331,3219,8
Text Length,0.08308308308308308,0.546056338028169,0.023323615160349854,3542,335,3215,8
Text Length,0.08408408408408408,0.5469014084507042,0.022922636103151862,3542,341,3209,8
Text Length,0.08508508508508508,0.5473239436619718,0.022727272727272728,3542,344,3206,8
Text Length,0.08608608608608609,0.5477464788732395,0.022535211267605635,3542,347,3203,8
Text Length,0.08708708708708708,0.548169014084507,0.0223463687150838,3542,350,3200,8
Text Length,0.08808808808808809,0.5497183098591549,0.02425876010781671,3541,362,3188,9
Text Length,0.0890890890890891,0.5509859154929577,0.02368421052631579,3541,371,3179,9
Text Length,0.09009009009009009,0.5515492957746478,0.0234375,3541,375,3175,9
Text Length,0.09109109109109109,0.5516901408450704,0.025839793281653745,3540,377,3173,10
Text Length,0.0920920920920921,0.5522535211267605,0.027989821882951654,3539,382,3168,11
Text Length,0.09309309309309309,0.5523943661971831,0.027918781725888325,3539,383,3167,11
Text Length,0.0940940940940941,0.5529577464788732,0.02763819095477387,3539,387,3163,11
Text Length,0.09509509509509509,0.5532394366197183,0.0275,3539,389,3161,11
Text Length,0.0960960960960961,0.5533802816901409,0.02743142144638404,3539,390,3160,11
Text Length,0.0970970970970971,0.5545070422535211,0.029197080291970802,3538,399,3151,12
Text Length,0.0980980980980981,0.5553521126760563,0.02877697841726619,3538,405,3145,12
Text Length,0.0990990990990991,0.5561971830985916,0.028368794326241134,3538,411,3139,12
Text Length,0.10010010010010009,0.5566197183098591,0.028169014084507043,3538,414,3136,12
Text Length,0.1011011011011011,0.5577464788732395,0.027649769585253458,3538,422,3128,12
Text Length,0.1021021021021021,0.5584507042253521,0.02733485193621868,3538,427,3123,12
Text Length,0.1031031031031031,0.5592957746478874,0.031180400890868598,3536,435,3115,14
Text Length,0.1041041041041041,0.5601408450704225,0.03282275711159737,3535,442,3108,15
Text Length,0.10510510510510511,0.5608450704225352,0.032467532467532464,3535,447,3103,15
Text Length,0.1061061061061061,0.561830985915493,0.031982942430703626,3535,454,3096,15
Text Length,0.10710710710710711,0.5625352112676056,0.03556485355648536,3533,461,3089,17
Text Length,0.10810810810810811,0.5628169014084508,0.035416666666666666,3533,463,3087,17
Text Length,0.1091091091091091,0.5635211267605634,0.03696098562628337,3532,469,3081,18
Text Length,0.11011011011011011,0.5642253521126761,0.036585365853658534,3532,474,3076,18
Text Length,0.1111111111111111,0.5645070422535211,0.038306451612903226,3531,477,3073,19
Text Length,0.11211211211211211,0.5652112676056338,0.03792415169660679,3531,482,3068,19
Text Length,0.11311311311311312,0.5654929577464789,0.04142011834319527,3529,486,3064,21
Text Length,0.11411411411411411,0.5664788732394366,0.04085603112840467,3529,493,3057,21
Text Length,0.11511511511511512,0.5674647887323944,0.04030710172744722,3529,500,3050,21
Text Length,0.11611611611611611,0.568169014084507,0.039923954372623575,3529,505,3045,21
Text Length,0.11711711711711711,0.5691549295774648,0.039399624765478425,3529,512,3038,21
Text Length,0.11811811811811812,0.5695774647887324,0.03917910447761194,3529,515,3035,21
Text Length,0.11911911911911911,0.5701408450704225,0.04059040590405904,3528,520,3030,22
Text Length,0.12012012012012012,0.5709859154929577,0.040145985401459854,3528,526,3024,22
Text Length,0.12112112112112113,0.5716901408450704,0.039783001808318265,3528,531,3019,22
Text Length,0.12212212212212212,0.572112676056338,0.039568345323741004,3528,534,3016,22
Text Length,0.12312312312312312,0.5726760563380282,0.039285714285714285,3528,538,3012,22
Text Length,0.12412412412412413,0.5730985915492958,0.03907637655417407,3528,541,3009,22
Text Length,0.12512512512512514,0.5746478873239437,0.03832752613240418,3528,552,2998,22
Text Length,0.12612612612612611,0.5757746478873239,0.037800687285223365,3528,560,2990,22
Text Length,0.12712712712712712,0.5767605633802817,0.03735144312393888,3528,567,2983,22
Text Length,0.12812812812812813,0.5771830985915493,0.037162162162162164,3528,570,2980,22
Text Length,0.12912912912912913,0.5778873239436619,0.03685092127303183,3528,575,2975,22
Text Length,0.13013013013013014,0.5784507042253522,0.036605657237936774,3528,579,2971,22
Text Length,0.13113113113113112,0.5792957746478873,0.036243822075782535,3528,585,2965,22
Text Length,0.13213213213213212,0.58,0.03594771241830065,3528,590,2960,22
Text Length,0.13313313313313313,0.5808450704225352,0.037096774193548385,3527,597,2953,23
Text Length,0.13413413413413414,0.5823943661971831,0.03645007923930269,3527,608,2942,23
Text Length,0.13513513513513514,0.5833802816901409,0.03605015673981191,3527,615,2935,23
Text Length,0.13613613613613612,0.5840845070422536,0.03576982892690513,3527,620,2930,23
Text Length,0.13713713713713713,0.5845070422535211,0.03560371517027864,3527,623,2927,23
Text Length,0.13813813813813813,0.5856338028169014,0.035168195718654434,3527,631,2919,23
Text Length,0.13913913913913914,0.586338028169014,0.03490136570561457,3527,636,2914,23
Text Length,0.14014014014014015,0.5877464788732394,0.0343796711509716,3527,646,2904,23
Text Length,0.14114114114114115,0.5884507042253521,0.03412462908011869,3527,651,2899,23
Text Length,0.14214214214214213,0.5891549295774647,0.03524229074889868,3526,657,2893,24
Text Length,0.14314314314314314,0.5895774647887324,0.03508771929824561,3526,660,2890,24
Text Length,0.14414414414414414,0.5904225352112676,0.036127167630057806,3525,667,2883,25
Text Length,0.14514514514514515,0.5911267605633803,0.035868005738880916,3525,672,2878,25
Text Length,0.14614614614614616,0.592112676056338,0.03551136363636364,3525,679,2871,25
Text Length,0.14714714714714713,0.5928169014084507,0.03526093088857546,3525,684,2866,25
Text Length,0.14814814814814814,0.5936619718309859,0.03496503496503497,3525,690,2860,25
Text Length,0.14914914914914915,0.5946478873239437,0.03462603878116344,3525,697,2853,25
Text Length,0.15015015015015015,0.5950704225352113,0.034482758620689655,3525,700,2850,25
Text Length,0.15115115115115116,0.596338028169014,0.0340599455040872,3525,709,2841,25
Text Length,0.15215215215215216,0.5974647887323944,0.03494623655913978,3524,718,2832,26
Text Length,0.15315315315315314,0.5977464788732394,0.037333333333333336,3522,722,2828,28
